input_single,output_single,time_single_ms,input_double,output_double,time_double_ms
4,6.000000,0.008192,4,6.000000,0.007168
8,12.000000,0.008192,8,12.000000,0.007168
16,24.000000,0.007168,16,24.000000,0.007168
32,48.000000,0.007168,32,48.000000,0.007168
64,96.000000,0.008192,64,96.000000,0.007168
128,192.000000,0.008192,128,192.000000,0.007168
256,384.000000,0.007168,256,384.000000,0.008192
512,768.000000,0.007168,512,768.000000,0.008192
1024,1536.000000,0.007168,1024,1536.000000,0.007168
2048,3072.000000,0.007168,2048,3072.000000,0.007168
4096,6144.000000,0.008192,4096,6144.000000,0.008192
8192,12288.000000,0.008192,8192,12288.000000,0.008192